feature,cluster,feature_dissatisfaction,feature_satisfaction,feature_neutral,feature_frequency,survey
calculate tip,3,0,0.039912622,0,1,1
dash pas,3,0.007588653,0.009010535,0.011879882,17,1
next thing,3,0.000846088,0,0,1,3
customer service,3,0.013395684,0.005258779,0.020320011,115,3
use grubhub,3,0.026238031,0,0,2,1
order arrive,3,0,0.000871687,0,1,2
customer service,3,0.01316982,0.00517011,0.019977395,115,2
service fee,3,0.002809655,0.013946729,0,3,1
pick ups,3,0,0.017433411,0,1,3
credit towards,3,0.004188387,0.005811137,0,2,3
take responsibility,3,0.011916368,0,0,1,2
regular basis,3,0,0.010752394,0,1,3
only reason,3,0,0.008192757,0.018491484,7,3
door dash,3,0.001873324,0.014339548,0.011557177,28,1
ur food,3,0.00557518,0.004358017,0.02067927,31,2
app crash,3,0.009399395,0,0.031996839,4,3
uber eats,3,0.006961048,0.010398295,0.014659542,109,1
few month,3,0.023323188,0,0,2,2
second time,3,0.003887198,0,0.042603239,6,2
uber eats,3,0.006959878,0.010396547,0.014657078,109,3
be nice,3,0,0.037576098,0,6,3
app crash,3,0.009386349,0,0.031952429,4,2
final straw,3,0.026686324,0,0,2,1
food arrive,3,0.016520105,0,0,2,2
uber eats,3,0.006825833,0.010196313,0.014374787,109,1
loyal customer,3,0.002399555,0.014044237,0,8,3
eat dinner,3,0.02278065,0,0,1,1
uber eats,3,0.006774921,0.010120262,0.01426757,109,3
star rating,3,0,0.020652304,0,1,3
uber eats,3,0.006750115,0.010083208,0.014215331,109,3
small percentage,3,0.005655064,0.004869816,0,2,2
quality control,3,0.005655064,0,0.030989421,2,1
dash pas,3,0.00698664,0.008295723,0.010937443,17,1
only thing,3,0.003141702,0.004928811,0.010329807,6,2
app crash,3,0.009103456,0,0.030989421,4,2
customer service,3,0.012396881,0.004866676,0.018804919,115,1
client do,3,0.052371434,0,0,1,1
customer service,3,0.012338853,0.004843896,0.018716896,115,2
uber eats,3,0.006697788,0.010005041,0.014105132,109,3
someone el,3,0.002278711,0.00919283,0.006136722,10,2
credit card,3,0.003188467,0.004979514,0.019177257,16,1
specialized team,3,0.00124428,0,0.040911483,3,3
complete opposite,3,0,0.006426473,0,2,2
uber eats,3,0.006638538,0.009916536,0.013980357,109,2
be nice,3,0,0.035073493,0,6,1
first time,3,0.000211612,0.01285606,0,16,2
customer service,3,0.011755623,0.004614935,0.017832189,115,2
real person,3,0,0.009573746,0,4,2
app crash,3,0.008486312,0,0.028888577,4,2
poor service,3,0.009631048,0,0,3,2
uber eats,3,0.006256844,0.009346367,0.013176532,109,1
delivery fee,3,0.001245338,0.003368294,0.022480309,23,3
company do,3,0.006989086,0.005631084,0.019149892,3,1
customer service,3,0.011440221,0.004491117,0.017353754,115,1
dash pas,3,0.006427589,0.007631924,0.010062261,17,1
door dash,3,0.001647022,0.012607292,0.01016104,28,1
uber eats,3,0.006197177,0.009257238,0.013050876,109,1
uber eats,3,0.006151348,0.009188779,0.012954363,109,1
make sure,3,0,0.025684366,0,7,2
someone el,3,0.002097274,0.008460876,0.005648102,10,2
dash pas,3,0.006366891,0.007559853,0.009967239,17,1
fix issue,3,0.016104477,0.001250096,0,2,1
re open,3,0.002290415,0.002392964,0.009413504,6,2
do anything,3,0.006453152,0.005139531,0.018827008,18,2
be miss,3,0.013662532,0,0,1,2
wrong order,3,0.020055956,0,0,2,3
whole hour,3,0,0.010462854,0,1,1
someone el,3,0.001977083,0.007975996,0.005324418,10,3
be deliver,3,0.001227376,0.005538737,0.021297672,10,2
different location,3,0.001349471,0,0.026622091,2,3
door dash,3,0.001541151,0.011796898,0.009507889,28,3
dollar coupon,3,0.005364149,0.03535364,0,2,1
extra fee,3,0,0.008521105,0.0175523,6,3
right address,3,0,0.008765897,0,2,2
menu price,3,0,0.002622277,0.02632845,2,3
ur food,3,0.004537736,0.003547066,0.016831219,31,3
uber eats,3,0.005663417,0.008459915,0.011926809,109,1
real person,3,0,0.008616612,0,4,1
customer service,3,0.010334828,0.00405717,0.015676975,115,2
grub hub,3,0.003714163,0.003711945,0.024240029,17,2
delivery fee,3,0.001116585,0.003020052,0.020156111,23,1
most part,3,0,0.027219252,0,2,2
uber eats,3,0.005571422,0.008322495,0.011733074,109,2
push notification,3,0,0.016417501,0,2,3
ur food,3,0.004448978,0.003477686,0.016502001,31,2
make sure,3,0,0.02326294,0,7,3
missing item,3,0.008538246,0.00078045,0.002512291,20,3
customer service,3,0.010081174,0.003957593,0.015292206,115,2
error message,3,0.005916416,0,0.024316214,2,3
debit card,3,0.008782181,0.002245267,0,8,3
single thing,3,0.005282515,0,0,1,1
other delivery,3,0.006951789,0.006054652,0,2,1
get food,3,0.00898856,0.005826289,0.007956865,6,3
delivery service,3,0.007412279,0.010654624,0,9,1
second time,3,0.002903996,0,0.031827461,6,1
different place,3,0.002022426,0,0.035805893,4,1
food bag,3,0,0.010942773,0,1,2
main reason,3,0,0.005260471,0,1,2
re order,3,0.002758098,0.002233219,0.020927379,9,3
other time,3,0.005410122,0.011162291,0,2,2
love uber,3,0,0.000230745,0,1,2
extra fee,3,0,0.0075918,0.01563806,6,1
customer service,3,0.009412724,0.003695177,0.014278229,115,2
uber eats,3,0.005109423,0.00763237,0.010760133,109,1
message say,3,0,0.028169474,0,1,3
dash pas,3,0.005217113,0.00619464,0.008167284,17,2
contact support,3,0.001511899,0.006476061,0.020452407,9,2
credit card,3,0.00239096,0.003734027,0.014380598,16,2
full time,3,0,0.014768476,0,2,2
only thing,3,0.002142303,0.003360919,0.007043819,6,3
extra fee,3,0,0.006839117,0.014087638,6,3
go get,3,0,0.001131674,0.028175276,3,2
be complete,3,0,0.033674617,0,1,2
credit card,3,0.002156186,0.003367373,0.01296853,16,2
first time,3,0.000149881,0.009105717,0,16,3
grub hub,3,0.002962154,0.002960385,0.019332135,17,2
live activity,3,0,0.011267368,0,1,1
ur food,3,0.003572734,0.002792742,0.013251867,31,3
customer service,3,0.008242329,0.003235712,0.012502848,115,2
delivery driver,3,0.002081259,0.009665815,0.014930415,11,3
menu price,3,0,0.002044692,0.020529321,2,1
door dash,3,0.001188441,0.009097043,0.0073319,28,2
customer service,3,0.008237885,0.003233968,0.012496108,115,2
only thing,3,0.002081259,0.003265151,0.006843107,6,1
inflated price,3,0.002424375,0,0,2,3
only problem,3,0,0.005580168,0.020497524,2,1
free trial,3,0.004424484,0.010888132,0,2,1
uber eats,3,0.00446477,0.006669398,0.009402534,109,1
grub hub,3,0.002955971,0.002954206,0.019291787,17,1
many time,3,0,0.020609679,0,7,3
ice cream,3,0,0.000840851,0.025327188,3,1
be deliver,3,0.000875757,0.003951999,0.015196313,10,2
delivery time,3,0.005648865,0.001504379,0.012663594,6,1
delivery option,3,0.005282056,0,0,1,2
delivery fee,3,0.000823527,0.002227412,0.014865958,23,2
full refund,3,0.001320514,0.007387475,0,7,3
arrival time,3,0.00038515,0.005045105,0.012663594,3,1
past couple,3,0.015020846,0,0,1,3
priority delivery,3,0.006354973,0.002522553,0.009497695,4,2
